path	class	owner	disposition
.llm/tools/agentic/claude/hybrid-opencode-adapter_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/codex/run-codex-slice-lib_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/opencode/opencode-boundary-plugin.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/opencode/opencode-preflight_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/opencode/opencode-project-config_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/README.md	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/runtime/adapters/local-codex-remote-adapter.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/runtime/contract.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/teardown/__fixtures__/aspire-ps-13.4.6.json	archival:version-suffixed-fixture	archival	exempt — 13.4.6 compat fixture kept beside the 13.5.3 capture (S3)
.llm/tools/agentic/teardown/__fixtures__/aspire-ps-13.5.3.json	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/__fixtures__/process-tree-13.5.3-orphaned.json	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/__fixtures__/process-tree-13.5.3-phase-b-live.json	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/__fixtures__/README.md	compat-fixture	S7	documents why the version-suffixed 13.4.6 teardown fixture is retained and names its 13.5.3 counterpart; parity phase 2 asserts the 13.5.3 case exists
.llm/tools/agentic/teardown/forbidden-commands_test.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/leak-check_test.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/leak-check.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/ownership_test.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/ownership.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/phase-b-live-snapshot_test.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/probes_test.ts	compat-fixture	S3	inline 13.4.6 fixture case kept as compat; S3 adds the 13.5.3 case beside it; parity phase 2 asserts the 13.5.3 case exists, not the absence of 13.4.6
.llm/tools/agentic/teardown/probes.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/teardown_test.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/teardown/teardown.ts	teardown	S7	orphan cleanup, stop --force, descendants, MCP_COMMAND regex, 13.5.3 fixture
.llm/tools/agentic/wsl/wsl-foundation-lib.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/agentic/wsl/wsl-foundation.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/CLEANUP-PLAYBOOK.md	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/consumer-README.md	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/consumer-tools.json	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/docs/check-accuracy-and-discoverability_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/docs/check-accuracy-and-discoverability.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/docs/check-docs-contract-derivation.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/docs/check-exports-drift.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/e2e/scaffold-e2e-test_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/e2e/scaffold-e2e-test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/entry.md	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/fitness/check-public-jsdoc-codenames_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/gates/catalog.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/harness/render-milestone-status_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/harness/render-milestone-status.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/harness/validate-milestone-cluster_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/harness/validate-milestone-cluster.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/release/baselines/public-surfaces.json	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/run-deno-fmt.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/run-deno-lint.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/validation/check-aspire-host-ports_test.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/validation/check-aspire-host-ports.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/validation/check-aspire-version-parity_test.ts	compat-fixture	S7/S13	validation test data: the 13.4.6 literals are fixtures the parity/compat checkers assert on, kept beside their 13.5.3 cases; parity phase 2 asserts the 13.5.3 case exists, not the absence of 13.4.6
.llm/tools/validation/check-aspire-version-parity.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.llm/tools/validation/check-compat-fixtures_test.ts	compat-fixture	S7/S13	validation test data: the 13.4.6 literals are fixtures the parity/compat checkers assert on, kept beside their 13.5.3 cases; parity phase 2 asserts the 13.5.3 case exists, not the absence of 13.4.6
.llm/tools/validation/check-scaffold-versions.ts	tooling-doc	S7/S13	CLEANUP-PLAYBOOK + gate docs regenerated into agent-tools corpus
.openhands/setup.sh	ci:openhands	S1	OpenHands runner hydrates Aspire CLI from toolchain.env; parity phase 1 enforce
AGENTS.md	doc:root	S11	prose sweep (AGENTS.md only if skill path changes)
CONTRIBUTING.md	doc:root	S11	prose sweep (AGENTS.md only if skill path changes)
deno.json	root-config	S1/S13	task wiring for check:aspire-version-parity (S1) and phase-2 flip (S13)
docs/architecture/doctrine/03-base-and-derived-classes.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/04-modules-and-helpers.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/05-folder-structure.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/06-archetypes.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/07-composition-and-extension.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/09-anti-patterns-and-fitness-functions.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/10-codebase-verdict-and-handoff.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/doctrine/11-plugin-thinness-and-base-seams.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/architecture/PUBLIC-SURFACE-PATTERNS.md	doc:doctrine	archival	exempt — doctrine changes need their own run
docs/site/_data.ts	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/_data/xref.ts	doc:site-infra	S11	xref/plugin wiring; wording check only
docs/site/_diagrams/architecture-overview.mmd	doc:diagram-source	S11	diagrams:render if S6/S8 add nodes
docs/site/_diagrams/aspire-resource-graph.mmd	doc:diagram-source	S11	diagrams:render if S6/S8 add nodes
docs/site/_plan/00-README.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/01-positioning-brief.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/02-information-architecture.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/03-page-outlines.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/05-build-migration-plan.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/07-questions-for-user.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/08-decisions-locked.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/09-research-integration.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/10-nav-ia-redesign.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/briefs/00-INDEX.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/briefs/phase-1-front-door.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/00-research-summary.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/competitors/encore.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/competitors/laravel.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/competitors/lume.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/competitors/medusa.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/competitors/tanstack.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/competitors/temporal.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/doc-architecture-patterns.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/market-fit.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/research/netscript-feature-landscape.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/samples/index.vto	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/web-layer-coverage-matrix.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/worklog/index.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/worklog/quickstart.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plan/worklog/why.md	archival:docs-plan	archival	exempt — documentation planning corpus
docs/site/_plugins/ai-tooling.ts	doc:site-infra	S11	xref/plugin wiring; wording check only
docs/site/ai/agent-tooling.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/ai/engine.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/ai/how-to/build-a-durable-chat.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/ai/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/assets/diagrams/architecture-overview.svg	doc:generated-asset	derived	diagrams:render output; gate diagrams:check
docs/site/assets/diagrams/aspire-resource-graph.svg	doc:generated-asset	derived	diagrams:render output; gate diagrams:check
docs/site/background-processing/how-to/tune-worker-runtime.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/background-processing/workers.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/cli-reference.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/concepts.vto	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/database.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/how-to/choose-a-queue-provider.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/how-to/database-migration.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/how-to/queue-kv-cron.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/how-to/use-a-second-database.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/data-persistence/kv-queues-cron.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/durable-workflows/sagas.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/durable-workflows/streams.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/durable-workflows/triggers.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/architecture.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/aspire.md	doc:aspire-dedicated	S11	version snippets must equal a fresh netscript init; parity phase 2 enforce
docs/site/explanation/compared.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/contracts.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/durability-model.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/observability.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/explanation/plugin-system.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/glossary.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/how-to/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/identity-access/auth.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/identity-access/how-to/add-authentication.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/index.vto	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/observability/how-to/add-opentelemetry.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/observability/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/observability/telemetry.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/cli-scaffold.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/how-to/add-a-plugin.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/how-to/author-a-plugin.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/how-to/deploy-deno-deploy.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/how-to/deploy-local-aspire.md	doc:aspire-dedicated	S11	version snippets must equal a fresh netscript init; parity phase 2 enforce
docs/site/orchestration-runtime/how-to/deploy.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/how-to/detached-start-agents-ci.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/how-to/graceful-shutdown.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/orchestration-runtime/runtime-config.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/quickstart.vto	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/quickstart/aspire.md	doc:aspire-dedicated	S11	version snippets must equal a fresh netscript init; parity phase 2 enforce
docs/site/reference/ai/skills.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/aspire/index.md	doc:aspire-dedicated	S11	version snippets must equal a fresh netscript init; parity phase 2 enforce
docs/site/reference/cli/commands.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/config/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/mcp/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/plugin/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/queue/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/sagas/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/sdk/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/streams/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/triggers/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/reference/workers/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/services-sdk/how-to/add-a-service.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/services-sdk/how-to/discover-services.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/services-sdk/how-to/expose-openapi-scalar.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/services-sdk/sdk.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/services-sdk/services.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/01-scaffold.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/02-durable-chat-route.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/03-chat-ui.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/04-tool-call.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/05-mcp.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/06-live-streaming.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/chat/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/erp-sync/01-scaffold.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/erp-sync/02-import-job.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/erp-sync/03-polyglot-transform.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/erp-sync/04-queue-and-cron.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/erp-sync/05-deploy.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/erp-sync/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/01-scaffold.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/02-contract-to-service.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/03-sdk-cache-first-query.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/04-definePage-QueryIsland.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/05-live-stream.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/06-deploy.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/live-dashboard/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/01-scaffold.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/02-catalog-service.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/03-cart-contracts.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/04-checkout-saga.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/05-shipping-webhook.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/06-storefront-ui.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/07-deploy.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/storefront/index.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/workspace/01-scaffold.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/workspace/02-auth.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/workspace/03-workspace-data.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/workspace/04-provision-job.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/workspace/05-route-authz.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
docs/site/tutorials/workspace/06-deploy.md	doc:public-page	S11	prose sweep + #1000 terminology; doc:lint
